text,category
"





Your bad English?  (See quote above.)



You'd lose that wager, if the supporting argument were part of it.


Did you know that Hitler himself was a devout Christian?  And heterosexual?

--Drywid",talk.politics.misc
"I was a graduate student in the early 1980s, and we had a conference on 
Reaganomics where Jerry Jordan, then a member of the Council of Economic 
Advisors, was a speaker.  I had the pleasure of driving him back to the 
airport afterwards, and since taxes were the main topic of discussion I 
thought I would ask him about the VAT.  I have favored it for these reasons 
you mention, that the income base is too hazy to define, that it taxes 
savings and investment, that it is likely to be more visible.  He agreed, 
and reported that the CEA at that time was in favor of VAT.  So why not 
propose it?  I asked.  He replied that the Reagan White House feared that 
the Democrats would introduce VAT *in addition to* the income tax, rather 
than in lieu.  Better not to give them any ideas, he said.

Pretty prescient.

Yes, any Canadian readers, please tell us if the tax is displayed on price 
stickers (I'm relatively certain it is not in Europe).",talk.politics.misc
"
It doesn't make a whole lot of difference, actually, since they weren't
building spares of the station hardware anyway.  (Dumb.)  At least this
is only one launch to fail.",sci.space
"



",rec.autos
"Yesterday, I went to the Boeing shareholders meeting.  It was a bit shorter
than I expected.  Last year (when the stock was first down), they made a big
presentation on the 777, and other programs.  This year, it was much more
bare-bones.

In any case, I wanted to ask a question that the board of directors would
hear, and so I got there early, and figured that If I didn't get to the mike,
maybe they would read mine off of a card, and so I wrote it down, and handed it
in.

After the meeting started, Mr. Shrontz said that he would only answer written
questions, in order to be fair to the people in the overflow room that only
had monitors downstairs.  Naturally, I was crushed.

So, when question and answer time came, I was suprised to find my question
being read and answered.  Admittedly near the end of the ones that he took.
Presumably getting there early, and getting the question in early made all
the difference.

So, on to the substance. The question was 

Is Boeing looking at anything BEYOND the high speed Civil Transport, such
as a commercial space launch system, and if not, how will Boeing compete
with the reusable single stage to orbit technology presently being developed
by Mcdonnell Douglass?

Well, he read it without a hitch, and without editing, with impressed me,
then he answered it very quickly treating it as a two part question, last
part first.

This is to the best of my recollection what he said.

As far as single stage to orbit technology, we think that we have a better
answer in a two stage approach, and we are talking to some of our customers 
about that.  As far as commercialization, that is a long ways off.  The High
speed Civil Transport is about as far out as our commercial planning goes at
this point.

So, this tells me that Boeing still considers space to be a non-commercial
arena, and for the most part this is true, however it also tells me that 
they consider there to be enough money in building space launchers for them
to persue work on their own.

Now, I do have a friend on the spacelifter program at boeing.  Actually,
this is a mis-nomer, as there is no spacelifter contract for the work that this
guy is doing, however, he is doing work in preparation of a proposal for space
lifter contracts.  He won't tell me what he is doing, but maybe this is where
the TSTO action is taking place at boeing.  At the very minimum, the chairman
of the board of boeing said that they have an approach in mind, and they are
trying to do something with it.  

Anybody know anything further?
Is this really news?
Does this threaten further work on DC-? ?",sci.space
"

Also would maybe get the Russians Involved. After all they do have the resources
to do it in part.. But they need the capital and the goal..

I wonder if renting the russians resources would be a disqualification?
",sci.space
"You guys are correct.  The Bricklin was produced in Canada.
The National Museum of Science and Technology here in Ottawa
has one, and sometimes they put it on display.  Most of the time,
it stays in storage because the museum doesn't have much room.
It's a big deal for a car to be Canadian and that's why they 
have it.  If anybody's a fan, they also have a nice green '73
Riviera that looks like it just came out of the showroom.",rec.autos
"

OK.  I stand corrected.  I guess, then, that the comments about payoffs
(i.e., ""pork"") to Puerto Ricans that others have been making still
stands?

Now, everybody, how about some opinion on the following related topic:

Should the people who are natives of U.S. territories have
representation in the U.S. House of Rep's or the U.S. Congress?
The U.S. Constitution sets up the House of Representatives to represent
each State in proportion to its population, and the Senate to represent
each State equally.  What should be done with U.S. territories like
Puerto Rico?  Does anyone have knowledge about how this was handled in
the past, such as with the Louisiana Territory or the Northwest
Territory?

Chris
",talk.politics.misc
"
""I hold that space cannot be curved, for the simple reason that it can have
no properties.""
""Of properties we can only speak when dealing with matter filling the
space. To say that in the presence of large bodies space becomes curved,
is equivalent to stating that something can act upon nothing. I,
for one, refuse to subscribe to such a view."" - Nikola Tesla

----
 ET  ""Tesla was 100 years ahead of his time. Perhaps now his time comes.""",sci.space
"Would someone please send me a list of the historic space flights?  I 
am not looking for a list of all flights, just the ones in which something 
monumental happened.  Or better yet, is there an ftp site with the list of all
shuttle flights?",sci.space
